household_id,case,year,month,elec_units,water_units
case1_0000,bangkok_normal,2024,3,287.1,16.1
case1_0000,bangkok_normal,2024,4,337.5,17.9
case1_0000,bangkok_normal,2024,5,248.5,16.1
case1_0000,bangkok_normal,2024,6,222.8,14.0
case1_0000,bangkok_normal,2024,7,241.1,13.3
case1_0000,bangkok_normal,2024,8,233.7,15.1
case1_0000,bangkok_normal,2024,9,226.5,15.4
case1_0000,bangkok_normal,2024,10,203.7,15.2
case1_0000,bangkok_normal,2024,11,232.2,13.5
case1_0000,bangkok_normal,2024,12,200.6,13.4
case1_0000,bangkok_normal,2025,1,197.5,13.6
case1_0000,bangkok_normal,2025,2,257.8,14.6
case1_0000,bangkok_normal,2025,3,291.9,16.3
case1_0000,bangkok_normal,2025,4,288.7,16.4
case1_0000,bangkok_normal,2025,5,301.2,16.6
case1_0000,bangkok_normal,2025,6,247.6,15.4
case1_0000,bangkok_normal,2025,7,267.8,15.1
case1_0000,bangkok_normal,2025,8,249.2,15.4
case1_0000,bangkok_normal,2025,9,228.7,12.4
case1_0000,bangkok_normal,2025,10,209.3,13.0
case1_0000,bangkok_normal,2025,11,242.6,12.9
case1_0000,bangkok_normal,2025,12,188.0,12.1
case1_0000,bangkok_normal,2026,1,185.7,12.6
case1_0000,bangkok_normal,2026,2,222.4,15.8
case1_0000,bangkok_normal,2026,3,283.0,14.1
case1_0000,bangkok_normal,2026,4,323.5,16.6
case1_0000,bangkok_normal,2026,5,314.5,13.1
case1_0000,bangkok_normal,2026,6,289.0,13.6
case1_0000,bangkok_normal,2026,7,312.0,14.2
case1_0000,bangkok_normal,2026,8,255.3,14.9
case1_0001,bangkok_normal,2024,3,292.6,22.5
case1_0001,bangkok_normal,2024,4,324.9,20.9
case1_0001,bangkok_normal,2024,5,353.7,20.9
case1_0001,bangkok_normal,2024,6,304.7,23.7
case1_0001,bangkok_normal,2024,7,250.0,20.8
case1_0001,bangkok_normal,2024,8,236.9,22.0
case1_0001,bangkok_normal,2024,9,226.9,18.7
case1_0001,bangkok_normal,2024,10,255.5,19.1
case1_0001,bangkok_normal,2024,11,253.9,17.7
case1_0001,bangkok_normal,2024,12,224.2,17.4
case1_0001,bangkok_normal,2025,1,213.7,19.9
case1_0001,bangkok_normal,2025,2,265.9,16.9
case1_0001,bangkok_normal,2025,3,328.4,20.7
case1_0001,bangkok_normal,2025,4,347.0,22.2
case1_0001,bangkok_normal,2025,5,352.7,20.3
case1_0001,bangkok_normal,2025,6,294.9,17.4
case1_0001,bangkok_normal,2025,7,276.1,19.2
case1_0001,bangkok_normal,2025,8,268.3,18.5
case1_0001,bangkok_normal,2025,9,232.2,19.4
case1_0001,bangkok_normal,2025,10,260.9,19.1
case1_0001,bangkok_normal,2025,11,244.3,21.8
case1_0001,bangkok_normal,2025,12,211.4,18.3
case1_0001,bangkok_normal,2026,1,232.1,16.4
case1_0001,bangkok_normal,2026,2,284.0,18.8
case1_0001,bangkok_normal,2026,3,341.0,20.3
case1_0001,bangkok_normal,2026,4,363.5,23.7
case1_0001,bangkok_normal,2026,5,333.8,23.0
case1_0001,bangkok_normal,2026,6,311.5,21.2
case1_0001,bangkok_normal,2026,7,247.4,22.3
case1_0001,bangkok_normal,2026,8,234.6,17.7
case1_0002,bangkok_normal,2024,3,523.0,13.2
case1_0002,bangkok_normal,2024,4,526.9,11.3
case1_0002,bangkok_normal,2024,5,602.4,12.1
case1_0002,bangkok_normal,2024,6,532.0,10.2
case1_0002,bangkok_normal,2024,7,430.8,11.4
case1_0002,bangkok_normal,2024,8,420.1,11.1
case1_0002,bangkok_normal,2024,9,453.8,10.3
case1_0002,bangkok_normal,2024,10,478.3,10.1
case1_0002,bangkok_normal,2024,11,529.7,9.4
case1_0002,bangkok_normal,2024,12,489.4,9.7
case1_0002,bangkok_normal,2025,1,432.1,9.3
case1_0002,bangkok_normal,2025,2,432.1,8.8
case1_0002,bangkok_normal,2025,3,416.2,9.0
case1_0002,bangkok_normal,2025,4,578.4,10.8
case1_0002,bangkok_normal,2025,5,528.5,12.5
case1_0002,bangkok_normal,2025,6,495.0,11.2
case1_0002,bangkok_normal,2025,7,455.5,10.4
case1_0002,bangkok_normal,2025,8,461.7,10.5
case1_0002,bangkok_normal,2025,9,491.4,11.3
case1_0002,bangkok_normal,2025,10,454.2,10.4
case1_0002,bangkok_normal,2025,11,427.1,9.6
case1_0002,bangkok_normal,2025,12,322.1,10.2
case1_0002,bangkok_normal,2026,1,300.7,10.0
case1_0002,bangkok_normal,2026,2,400.8,11.5
case1_0002,bangkok_normal,2026,3,503.7,11.1
case1_0002,bangkok_normal,2026,4,684.3,9.8
case1_0002,bangkok_normal,2026,5,603.4,9.0
case1_0002,bangkok_normal,2026,6,578.1,11.4
case1_0002,bangkok_normal,2026,7,477.9,12.0
case1_0002,bangkok_normal,2026,8,415.0,10.3
case1_0003,bangkok_normal,2024,3,457.1,23.0
case1_0003,bangkok_normal,2024,4,510.8,24.3
case1_0003,bangkok_normal,2024,5,572.2,19.1
case1_0003,bangkok_normal,2024,6,494.5,18.0
case1_0003,bangkok_normal,2024,7,470.9,15.4
case1_0003,bangkok_normal,2024,8,452.9,16.2
case1_0003,bangkok_normal,2024,9,445.5,17.6
case1_0003,bangkok_normal,2024,10,479.8,19.4
case1_0003,bangkok_normal,2024,11,434.0,16.7
case1_0003,bangkok_normal,2024,12,371.7,15.3
case1_0003,bangkok_normal,2025,1,296.5,12.9
case1_0003,bangkok_normal,2025,2,407.5,16.2
case1_0003,bangkok_normal,2025,3,456.0,16.3
case1_0003,bangkok_normal,2025,4,488.6,17.8
case1_0003,bangkok_normal,2025,5,480.9,17.1
case1_0003,bangkok_normal,2025,6,468.5,17.8
case1_0003,bangkok_normal,2025,7,501.0,14.9
case1_0003,bangkok_normal,2025,8,407.4,14.5
case1_0003,bangkok_normal,2025,9,416.5,20.2
case1_0003,bangkok_normal,2025,10,392.4,16.1
case1_0003,bangkok_normal,2025,11,388.6,15.2
case1_0003,bangkok_normal,2025,12,368.9,18.8
case1_0003,bangkok_normal,2026,1,381.0,22.0
case1_0003,bangkok_normal,2026,2,491.0,17.4
case1_0003,bangkok_normal,2026,3,514.6,17.9
case1_0003,bangkok_normal,2026,4,532.8,20.0
case1_0003,bangkok_normal,2026,5,523.8,22.6
case1_0003,bangkok_normal,2026,6,503.7,17.9
case1_0003,bangkok_normal,2026,7,473.9,17.6
case1_0003,bangkok_normal,2026,8,406.9,19.2
case1_0004,bangkok_normal,2024,3,380.6,14.7
case1_0004,bangkok_normal,2024,4,378.2,10.8
case1_0004,bangkok_normal,2024,5,395.6,12.2
case1_0004,bangkok_normal,2024,6,369.6,12.8
case1_0004,bangkok_normal,2024,7,364.7,12.9
case1_0004,bangkok_normal,2024,8,333.9,12.1
case1_0004,bangkok_normal,2024,9,341.2,10.0
case1_0004,bangkok_normal,2024,10,355.3,11.8
case1_0004,bangkok_normal,2024,11,331.3,13.9
case1_0004,bangkok_normal,2024,12,277.8,10.2
case1_0004,bangkok_normal,2025,1,281.1,12.1
case1_0004,bangkok_normal,2025,2,335.0,11.9
case1_0004,bangkok_normal,2025,3,364.3,12.7
case1_0004,bangkok_normal,2025,4,447.3,12.0
case1_0004,bangkok_normal,2025,5,425.1,12.4
case1_0004,bangkok_normal,2025,6,469.3,14.1
case1_0004,bangkok_normal,2025,7,442.9,13.5
case1_0004,bangkok_normal,2025,8,391.6,14.7
case1_0004,bangkok_normal,2025,9,321.2,14.1
case1_0004,bangkok_normal,2025,10,286.8,13.1
case1_0004,bangkok_normal,2025,11,345.7,14.2
case1_0004,bangkok_normal,2025,12,281.6,12.4
case1_0004,bangkok_normal,2026,1,296.3,12.6
case1_0004,bangkok_normal,2026,2,287.4,14.5
case1_0004,bangkok_normal,2026,3,413.0,15.4
case1_0004,bangkok_normal,2026,4,474.0,14.9
case1_0004,bangkok_normal,2026,5,394.8,16.9
case1_0004,bangkok_normal,2026,6,368.5,13.9
case1_0004,bangkok_normal,2026,7,372.3,15.6
case1_0004,bangkok_normal,2026,8,363.0,14.6
case1_0005,bangkok_normal,2024,3,349.4,10.8
case1_0005,bangkok_normal,2024,4,442.9,11.9
case1_0005,bangkok_normal,2024,5,394.3,11.9
case1_0005,bangkok_normal,2024,6,378.2,12.2
case1_0005,bangkok_normal,2024,7,433.9,12.7
case1_0005,bangkok_normal,2024,8,414.5,10.6
case1_0005,bangkok_normal,2024,9,343.5,10.8
case1_0005,bangkok_normal,2024,10,309.4,12.6
case1_0005,bangkok_normal,2024,11,332.3,10.7
case1_0005,bangkok_normal,2024,12,251.4,9.6
case1_0005,bangkok_normal,2025,1,269.0,10.5
case1_0005,bangkok_normal,2025,2,362.0,12.1
case1_0005,bangkok_normal,2025,3,472.2,12.2
case1_0005,bangkok_normal,2025,4,527.3,14.1
case1_0005,bangkok_normal,2025,5,378.2,13.8
case1_0005,bangkok_normal,2025,6,417.0,13.3
case1_0005,bangkok_normal,2025,7,401.1,12.6
case1_0005,bangkok_normal,2025,8,406.7,14.4
case1_0005,bangkok_normal,2025,9,430.9,11.9
case1_0005,bangkok_normal,2025,10,342.1,9.2
case1_0005,bangkok_normal,2025,11,356.0,12.3
case1_0005,bangkok_normal,2025,12,340.9,10.4
case1_0005,bangkok_normal,2026,1,296.6,10.8
case1_0005,bangkok_normal,2026,2,459.8,12.8
case1_0005,bangkok_normal,2026,3,523.6,10.6
case1_0005,bangkok_normal,2026,4,614.7,10.6
case1_0005,bangkok_normal,2026,5,527.5,9.9
case1_0005,bangkok_normal,2026,6,531.0,10.4
case1_0005,bangkok_normal,2026,7,521.6,11.7
case1_0005,bangkok_normal,2026,8,479.3,12.2
case1_0006,bangkok_normal,2024,3,660.2,13.7
case1_0006,bangkok_normal,2024,4,807.4,14.7
case1_0006,bangkok_normal,2024,5,814.1,16.3
case1_0006,bangkok_normal,2024,6,717.6,17.6
case1_0006,bangkok_normal,2024,7,701.0,13.4
case1_0006,bangkok_normal,2024,8,658.6,14.6
case1_0006,bangkok_normal,2024,9,631.0,12.7
case1_0006,bangkok_normal,2024,10,547.2,14.1
case1_0006,bangkok_normal,2024,11,548.0,13.7
case1_0006,bangkok_normal,2024,12,478.2,10.8
case1_0006,bangkok_normal,2025,1,532.6,13.7
case1_0006,bangkok_normal,2025,2,586.9,13.3
case1_0006,bangkok_normal,2025,3,728.9,13.7
case1_0006,bangkok_normal,2025,4,780.9,13.5
case1_0006,bangkok_normal,2025,5,959.0,13.6
case1_0006,bangkok_normal,2025,6,957.7,14.8
case1_0006,bangkok_normal,2025,7,692.9,14.0
case1_0006,bangkok_normal,2025,8,668.5,14.5
case1_0006,bangkok_normal,2025,9,614.8,14.4
case1_0006,bangkok_normal,2025,10,531.7,15.5
case1_0006,bangkok_normal,2025,11,619.5,13.7
case1_0006,bangkok_normal,2025,12,625.8,11.1
case1_0006,bangkok_normal,2026,1,621.6,13.7
case1_0006,bangkok_normal,2026,2,775.1,13.5
case1_0006,bangkok_normal,2026,3,993.3,15.9
case1_0006,bangkok_normal,2026,4,1178.0,16.1
case1_0006,bangkok_normal,2026,5,1021.7,15.0
case1_0006,bangkok_normal,2026,6,1025.6,14.9
case1_0006,bangkok_normal,2026,7,882.4,16.8
case1_0006,bangkok_normal,2026,8,763.4,17.4
case1_0007,bangkok_normal,2024,3,328.5,9.9
case1_0007,bangkok_normal,2024,4,320.7,11.7
case1_0007,bangkok_normal,2024,5,331.2,12.4
case1_0007,bangkok_normal,2024,6,298.9,11.5
case1_0007,bangkok_normal,2024,7,286.9,10.4
case1_0007,bangkok_normal,2024,8,251.4,10.8
case1_0007,bangkok_normal,2024,9,210.7,9.9
case1_0007,bangkok_normal,2024,10,185.2,10.8
case1_0007,bangkok_normal,2024,11,198.8,8.4
case1_0007,bangkok_normal,2024,12,183.3,8.7
case1_0007,bangkok_normal,2025,1,199.1,7.5
case1_0007,bangkok_normal,2025,2,297.6,8.0
case1_0007,bangkok_normal,2025,3,345.1,11.3
case1_0007,bangkok_normal,2025,4,323.0,12.2
case1_0007,bangkok_normal,2025,5,332.8,10.5
case1_0007,bangkok_normal,2025,6,288.9,8.9
case1_0007,bangkok_normal,2025,7,268.6,6.9
case1_0007,bangkok_normal,2025,8,272.8,8.6
case1_0007,bangkok_normal,2025,9,270.8,11.7
