household_id,case,year,month,is_optimizer,elec_units_onpeak,elec_units_offpeak,water_units
case2_0000,bangkok_tou,2024,3,False,348.9,245.2,9.1
case2_0000,bangkok_tou,2024,4,False,355.5,250.0,9.6
case2_0000,bangkok_tou,2024,5,False,380.4,196.1,10.9
case2_0000,bangkok_tou,2024,6,False,316.8,258.5,10.5
case2_0000,bangkok_tou,2024,7,False,301.5,165.6,10.4
case2_0000,bangkok_tou,2024,8,False,285.2,184.8,10.0
case2_0000,bangkok_tou,2024,9,False,270.4,170.5,8.5
case2_0000,bangkok_tou,2024,10,False,249.2,201.0,9.6
case2_0000,bangkok_tou,2024,11,False,312.7,216.9,10.7
case2_0000,bangkok_tou,2024,12,False,191.7,152.9,9.8
case2_0000,bangkok_tou,2025,1,False,213.4,150.4,10.0
case2_0000,bangkok_tou,2025,2,False,318.2,215.9,9.0
case2_0000,bangkok_tou,2025,3,False,318.9,189.7,9.7
case2_0000,bangkok_tou,2025,4,False,416.5,262.3,10.0
case2_0000,bangkok_tou,2025,5,False,356.6,244.5,9.8
case2_0000,bangkok_tou,2025,6,False,340.6,242.2,9.4
case2_0000,bangkok_tou,2025,7,False,329.8,201.7,10.2
case2_0000,bangkok_tou,2025,8,False,270.2,231.6,10.4
case2_0000,bangkok_tou,2025,9,False,242.9,174.0,10.6
case2_0000,bangkok_tou,2025,10,False,267.5,151.0,11.5
case2_0000,bangkok_tou,2025,11,False,240.9,209.2,10.2
case2_0000,bangkok_tou,2025,12,False,231.7,118.2,9.6
case2_0000,bangkok_tou,2026,1,False,191.4,139.2,9.4
case2_0000,bangkok_tou,2026,2,False,241.3,150.1,8.3
case2_0000,bangkok_tou,2026,3,False,306.2,269.6,8.7
case2_0000,bangkok_tou,2026,4,False,394.4,308.3,10.7
case2_0000,bangkok_tou,2026,5,False,363.0,203.0,10.1
case2_0000,bangkok_tou,2026,6,False,289.5,232.6,10.0
case2_0000,bangkok_tou,2026,7,False,370.1,177.8,8.5
case2_0000,bangkok_tou,2026,8,False,284.5,222.4,9.7
case2_0001,bangkok_tou,2024,3,False,364.6,327.8,13.4
case2_0001,bangkok_tou,2024,4,False,506.9,283.5,13.3
case2_0001,bangkok_tou,2024,5,False,467.8,258.0,10.8
case2_0001,bangkok_tou,2024,6,False,413.6,246.0,13.3
case2_0001,bangkok_tou,2024,7,False,367.4,253.7,13.9
case2_0001,bangkok_tou,2024,8,False,368.3,195.2,13.9
case2_0001,bangkok_tou,2024,9,False,327.5,238.7,13.0
case2_0001,bangkok_tou,2024,10,False,265.1,173.0,14.8
case2_0001,bangkok_tou,2024,11,False,200.0,123.7,12.9
case2_0001,bangkok_tou,2024,12,False,262.3,139.7,14.9
case2_0001,bangkok_tou,2025,1,False,276.1,179.1,13.2
case2_0001,bangkok_tou,2025,2,False,315.9,192.5,12.7
case2_0001,bangkok_tou,2025,3,False,384.7,171.4,13.6
case2_0001,bangkok_tou,2025,4,False,466.9,313.6,14.8
case2_0001,bangkok_tou,2025,5,False,437.9,237.8,15.3
case2_0001,bangkok_tou,2025,6,False,368.7,222.7,17.1
case2_0001,bangkok_tou,2025,7,False,338.5,185.6,15.0
case2_0001,bangkok_tou,2025,8,False,373.4,224.2,15.1
case2_0001,bangkok_tou,2025,9,False,272.2,160.4,15.2
case2_0001,bangkok_tou,2025,10,False,301.8,180.3,14.5
case2_0001,bangkok_tou,2025,11,False,293.9,173.2,16.1
case2_0001,bangkok_tou,2025,12,False,263.2,149.3,13.1
case2_0001,bangkok_tou,2026,1,False,268.1,201.7,12.2
case2_0001,bangkok_tou,2026,2,False,309.9,212.4,11.8
case2_0001,bangkok_tou,2026,3,False,359.1,249.7,13.3
case2_0001,bangkok_tou,2026,4,False,324.0,255.9,11.6
case2_0001,bangkok_tou,2026,5,False,389.0,225.6,14.6
case2_0001,bangkok_tou,2026,6,False,324.8,222.0,13.2
case2_0001,bangkok_tou,2026,7,False,366.2,212.3,14.4
case2_0001,bangkok_tou,2026,8,False,359.0,197.3,14.4
case2_0002,bangkok_tou,2024,3,False,199.2,243.9,22.0
case2_0002,bangkok_tou,2024,4,False,314.7,213.6,21.3
case2_0002,bangkok_tou,2024,5,False,191.4,155.8,23.1
case2_0002,bangkok_tou,2024,6,False,198.7,181.4,25.5
case2_0002,bangkok_tou,2024,7,False,163.3,152.9,25.8
case2_0002,bangkok_tou,2024,8,False,157.3,183.9,23.2
case2_0002,bangkok_tou,2024,9,False,181.4,138.9,19.0
case2_0002,bangkok_tou,2024,10,False,120.9,110.7,21.2
case2_0002,bangkok_tou,2024,11,False,139.4,141.5,17.6
case2_0002,bangkok_tou,2024,12,False,150.0,128.0,17.0
case2_0002,bangkok_tou,2025,1,False,155.6,120.6,16.9
case2_0002,bangkok_tou,2025,2,False,206.9,172.3,18.6
case2_0002,bangkok_tou,2025,3,False,212.2,156.2,20.9
case2_0002,bangkok_tou,2025,4,False,263.2,235.5,23.8
case2_0002,bangkok_tou,2025,5,False,208.4,222.5,22.5
case2_0002,bangkok_tou,2025,6,False,183.3,151.2,17.6
case2_0002,bangkok_tou,2025,7,False,179.6,179.4,20.2
case2_0002,bangkok_tou,2025,8,False,244.2,157.3,21.2
case2_0002,bangkok_tou,2025,9,False,208.7,137.9,21.2
case2_0002,bangkok_tou,2025,10,False,156.8,171.8,18.3
case2_0002,bangkok_tou,2025,11,False,170.2,148.3,18.3
case2_0002,bangkok_tou,2025,12,False,106.4,102.2,16.9
case2_0002,bangkok_tou,2026,1,False,181.3,127.5,19.1
case2_0002,bangkok_tou,2026,2,False,228.0,174.9,15.9
case2_0002,bangkok_tou,2026,3,False,225.1,243.6,18.0
case2_0002,bangkok_tou,2026,4,False,257.3,228.8,22.8
case2_0002,bangkok_tou,2026,5,False,222.6,221.0,20.1
case2_0002,bangkok_tou,2026,6,False,202.3,181.9,22.2
case2_0002,bangkok_tou,2026,7,False,201.7,218.0,21.4
case2_0002,bangkok_tou,2026,8,False,220.4,180.4,16.2
case2_0003,bangkok_tou,2024,3,False,201.3,122.5,20.0
case2_0003,bangkok_tou,2024,4,False,222.6,137.8,20.7
case2_0003,bangkok_tou,2024,5,False,191.0,136.5,20.7
case2_0003,bangkok_tou,2024,6,False,184.9,149.9,19.0
case2_0003,bangkok_tou,2024,7,False,163.3,109.7,19.1
case2_0003,bangkok_tou,2024,8,False,132.2,106.0,18.3
case2_0003,bangkok_tou,2024,9,False,142.4,122.8,16.4
case2_0003,bangkok_tou,2024,10,False,139.3,91.8,17.4
case2_0003,bangkok_tou,2024,11,False,151.2,88.8,20.6
case2_0003,bangkok_tou,2024,12,False,115.3,55.8,18.8
case2_0003,bangkok_tou,2025,1,False,95.8,71.2,21.0
case2_0003,bangkok_tou,2025,2,False,132.7,83.8,21.9
case2_0003,bangkok_tou,2025,3,False,195.3,141.3,25.6
case2_0003,bangkok_tou,2025,4,False,216.0,137.7,23.5
case2_0003,bangkok_tou,2025,5,False,183.9,125.8,22.3
case2_0003,bangkok_tou,2025,6,False,153.5,116.6,20.2
case2_0003,bangkok_tou,2025,7,False,157.7,105.9,22.6
case2_0003,bangkok_tou,2025,8,False,138.9,117.1,20.2
case2_0003,bangkok_tou,2025,9,False,155.8,97.3,21.3
case2_0003,bangkok_tou,2025,10,False,168.4,108.0,17.1
case2_0003,bangkok_tou,2025,11,False,137.8,91.8,18.3
case2_0003,bangkok_tou,2025,12,False,132.3,101.3,21.4
case2_0003,bangkok_tou,2026,1,False,107.2,63.6,21.2
case2_0003,bangkok_tou,2026,2,False,121.8,104.7,24.1
case2_0003,bangkok_tou,2026,3,False,161.9,85.1,22.1
case2_0003,bangkok_tou,2026,4,False,182.3,126.3,22.9
case2_0003,bangkok_tou,2026,5,False,144.4,108.9,19.4
case2_0003,bangkok_tou,2026,6,False,149.2,82.4,21.5
case2_0003,bangkok_tou,2026,7,False,133.9,101.3,23.8
case2_0003,bangkok_tou,2026,8,False,111.0,90.5,22.2
case2_0004,bangkok_tou,2024,3,False,116.2,72.6,12.7
case2_0004,bangkok_tou,2024,4,False,138.4,76.5,11.3
case2_0004,bangkok_tou,2024,5,False,137.1,90.0,11.6
case2_0004,bangkok_tou,2024,6,False,129.4,61.7,12.7
case2_0004,bangkok_tou,2024,7,False,98.7,71.3,10.8
case2_0004,bangkok_tou,2024,8,False,95.4,89.8,14.0
case2_0004,bangkok_tou,2024,9,False,106.7,69.1,13.0
case2_0004,bangkok_tou,2024,10,False,121.2,56.6,12.0
case2_0004,bangkok_tou,2024,11,False,88.0,56.6,12.0
case2_0004,bangkok_tou,2024,12,False,83.8,57.7,13.4
case2_0004,bangkok_tou,2025,1,False,79.8,57.0,13.2
case2_0004,bangkok_tou,2025,2,False,88.6,61.1,10.7
case2_0004,bangkok_tou,2025,3,False,106.2,94.8,12.2
case2_0004,bangkok_tou,2025,4,False,135.7,91.7,14.8
case2_0004,bangkok_tou,2025,5,False,115.6,75.5,13.0
case2_0004,bangkok_tou,2025,6,False,105.1,77.6,13.6
case2_0004,bangkok_tou,2025,7,False,107.3,80.5,10.4
case2_0004,bangkok_tou,2025,8,False,88.1,59.3,11.5
case2_0004,bangkok_tou,2025,9,False,99.0,66.3,12.6
case2_0004,bangkok_tou,2025,10,False,96.2,60.2,13.6
case2_0004,bangkok_tou,2025,11,False,91.7,72.0,12.4
case2_0004,bangkok_tou,2025,12,False,68.5,36.7,13.2
case2_0004,bangkok_tou,2026,1,False,87.2,62.0,10.9
case2_0004,bangkok_tou,2026,2,False,88.5,71.3,12.5
case2_0004,bangkok_tou,2026,3,False,106.8,73.8,14.0
case2_0004,bangkok_tou,2026,4,False,138.1,71.5,12.5
case2_0004,bangkok_tou,2026,5,False,130.9,88.8,15.7
case2_0004,bangkok_tou,2026,6,False,108.2,85.0,14.8
case2_0004,bangkok_tou,2026,7,False,120.3,87.1,12.6
case2_0004,bangkok_tou,2026,8,False,113.6,66.0,14.1
case2_0005,bangkok_tou,2024,3,False,354.1,382.8,25.1
case2_0005,bangkok_tou,2024,4,False,544.8,505.0,27.7
case2_0005,bangkok_tou,2024,5,False,456.2,388.8,28.7
case2_0005,bangkok_tou,2024,6,False,345.4,298.2,25.9
case2_0005,bangkok_tou,2024,7,False,339.5,315.9,28.8
case2_0005,bangkok_tou,2024,8,False,340.6,330.0,20.3
case2_0005,bangkok_tou,2024,9,False,301.5,241.5,20.6
case2_0005,bangkok_tou,2024,10,False,345.7,291.3,23.5
case2_0005,bangkok_tou,2024,11,False,344.5,335.2,19.5
case2_0005,bangkok_tou,2024,12,False,243.6,221.4,20.2
case2_0005,bangkok_tou,2025,1,False,262.8,229.5,21.4
case2_0005,bangkok_tou,2025,2,False,279.5,283.9,22.2
case2_0005,bangkok_tou,2025,3,False,361.1,284.5,23.7
case2_0005,bangkok_tou,2025,4,False,443.1,433.5,27.0
case2_0005,bangkok_tou,2025,5,False,414.8,448.1,27.8
case2_0005,bangkok_tou,2025,6,False,410.1,363.7,21.5
case2_0005,bangkok_tou,2025,7,False,404.3,353.9,19.6
case2_0005,bangkok_tou,2025,8,False,401.5,300.5,22.8
case2_0005,bangkok_tou,2025,9,False,346.3,289.9,19.9
case2_0005,bangkok_tou,2025,10,False,349.1,278.6,25.4
case2_0005,bangkok_tou,2025,11,False,309.9,322.9,22.7
case2_0005,bangkok_tou,2025,12,False,296.8,252.8,21.5
case2_0005,bangkok_tou,2026,1,False,328.4,278.5,20.8
case2_0005,bangkok_tou,2026,2,False,323.3,341.3,21.3
case2_0005,bangkok_tou,2026,3,False,422.0,370.1,21.4
case2_0005,bangkok_tou,2026,4,False,446.7,433.3,27.7
case2_0005,bangkok_tou,2026,5,False,458.5,384.3,25.8
case2_0005,bangkok_tou,2026,6,False,455.8,430.6,19.2
case2_0005,bangkok_tou,2026,7,False,402.6,347.5,20.0
case2_0005,bangkok_tou,2026,8,False,358.5,391.1,22.6
case2_0006,bangkok_tou,2024,3,False,300.4,148.0,14.4
case2_0006,bangkok_tou,2024,4,False,309.2,152.2,16.4
case2_0006,bangkok_tou,2024,5,False,302.1,218.2,15.8
case2_0006,bangkok_tou,2024,6,False,333.1,174.9,13.7
case2_0006,bangkok_tou,2024,7,False,310.2,151.0,17.2
case2_0006,bangkok_tou,2024,8,False,242.2,171.1,15.4
case2_0006,bangkok_tou,2024,9,False,212.9,142.2,15.1
case2_0006,bangkok_tou,2024,10,False,234.6,140.4,16.0
case2_0006,bangkok_tou,2024,11,False,229.4,126.1,17.7
case2_0006,bangkok_tou,2024,12,False,251.9,91.4,14.4
case2_0006,bangkok_tou,2025,1,False,215.6,113.3,14.1
case2_0006,bangkok_tou,2025,2,False,264.9,154.7,12.8
case2_0006,bangkok_tou,2025,3,False,305.2,152.1,14.5
case2_0006,bangkok_tou,2025,4,False,391.9,195.3,13.6
case2_0006,bangkok_tou,2025,5,False,261.7,220.9,14.1
case2_0006,bangkok_tou,2025,6,False,310.7,137.8,15.5
case2_0006,bangkok_tou,2025,7,False,282.1,178.3,15.0
case2_0006,bangkok_tou,2025,8,False,331.4,173.2,15.6
case2_0006,bangkok_tou,2025,9,False,229.1,142.1,14.5
