household_id,case,year,month,elec_units,water_units
case3_0000,upcountry_normal,2024,3,626.2,4.6
case3_0000,upcountry_normal,2024,4,719.8,5.3
case3_0000,upcountry_normal,2024,5,753.7,4.3
case3_0000,upcountry_normal,2024,6,614.7,4.6
case3_0000,upcountry_normal,2024,7,569.6,4.3
case3_0000,upcountry_normal,2024,8,521.1,4.6
case3_0000,upcountry_normal,2024,9,593.1,5.0
case3_0000,upcountry_normal,2024,10,528.6,4.0
case3_0000,upcountry_normal,2024,11,373.5,3.9
case3_0000,upcountry_normal,2024,12,376.6,4.4
case3_0000,upcountry_normal,2025,1,394.2,4.7
case3_0000,upcountry_normal,2025,2,389.2,4.1
case3_0000,upcountry_normal,2025,3,541.5,5.0
case3_0000,upcountry_normal,2025,4,743.7,5.4
case3_0000,upcountry_normal,2025,5,650.1,5.2
case3_0000,upcountry_normal,2025,6,631.8,4.8
case3_0000,upcountry_normal,2025,7,713.9,5.0
case3_0000,upcountry_normal,2025,8,664.6,5.1
case3_0000,upcountry_normal,2025,9,505.3,4.5
case3_0000,upcountry_normal,2025,10,595.7,4.7
case3_0000,upcountry_normal,2025,11,378.8,3.7
case3_0000,upcountry_normal,2025,12,455.5,3.6
case3_0000,upcountry_normal,2026,1,418.7,4.2
case3_0000,upcountry_normal,2026,2,440.2,4.1
case3_0000,upcountry_normal,2026,3,486.6,4.3
case3_0000,upcountry_normal,2026,4,645.7,5.2
case3_0000,upcountry_normal,2026,5,632.9,5.4
case3_0000,upcountry_normal,2026,6,615.6,5.1
case3_0000,upcountry_normal,2026,7,577.9,5.6
case3_0000,upcountry_normal,2026,8,557.6,4.7
case3_0001,upcountry_normal,2024,3,250.0,4.2
case3_0001,upcountry_normal,2024,4,318.7,6.1
case3_0001,upcountry_normal,2024,5,258.6,5.1
case3_0001,upcountry_normal,2024,6,255.1,5.5
case3_0001,upcountry_normal,2024,7,273.2,5.8
case3_0001,upcountry_normal,2024,8,268.4,5.2
case3_0001,upcountry_normal,2024,9,314.5,5.3
case3_0001,upcountry_normal,2024,10,254.1,5.5
case3_0001,upcountry_normal,2024,11,237.8,4.0
case3_0001,upcountry_normal,2024,12,244.2,4.6
case3_0001,upcountry_normal,2025,1,239.8,4.9
case3_0001,upcountry_normal,2025,2,266.6,5.1
case3_0001,upcountry_normal,2025,3,265.0,5.0
case3_0001,upcountry_normal,2025,4,284.0,5.7
case3_0001,upcountry_normal,2025,5,262.7,5.2
case3_0001,upcountry_normal,2025,6,304.3,5.0
case3_0001,upcountry_normal,2025,7,295.6,4.7
case3_0001,upcountry_normal,2025,8,289.4,5.3
case3_0001,upcountry_normal,2025,9,282.0,5.2
case3_0001,upcountry_normal,2025,10,237.8,5.5
case3_0001,upcountry_normal,2025,11,242.1,3.7
case3_0001,upcountry_normal,2025,12,245.8,3.9
case3_0001,upcountry_normal,2026,1,271.6,4.5
case3_0001,upcountry_normal,2026,2,256.5,5.3
case3_0001,upcountry_normal,2026,3,252.9,5.0
case3_0001,upcountry_normal,2026,4,282.3,4.7
case3_0001,upcountry_normal,2026,5,335.1,5.0
case3_0001,upcountry_normal,2026,6,265.5,5.3
case3_0001,upcountry_normal,2026,7,237.7,5.8
case3_0001,upcountry_normal,2026,8,267.7,6.1
case3_0002,upcountry_normal,2024,3,383.5,5.7
case3_0002,upcountry_normal,2024,4,456.9,6.1
case3_0002,upcountry_normal,2024,5,436.8,6.5
case3_0002,upcountry_normal,2024,6,438.2,6.0
case3_0002,upcountry_normal,2024,7,380.7,5.2
