household_id,case,year,month,is_optimizer,elec_units_onpeak,elec_units_offpeak,water_units
case4_0000,upcountry_tou,2024,3,False,280.1,147.1,11.6
case4_0000,upcountry_tou,2024,4,False,315.2,170.0,12.9
case4_0000,upcountry_tou,2024,5,False,273.1,144.4,14.1
case4_0000,upcountry_tou,2024,6,False,340.5,162.4,13.9
case4_0000,upcountry_tou,2024,7,False,297.0,135.3,14.3
case4_0000,upcountry_tou,2024,8,False,256.2,132.6,13.5
case4_0000,upcountry_tou,2024,9,False,276.7,132.2,15.9
case4_0000,upcountry_tou,2024,10,False,215.6,138.4,12.6
case4_0000,upcountry_tou,2024,11,False,171.0,96.4,11.1
case4_0000,upcountry_tou,2024,12,False,186.7,75.8,11.0
case4_0000,upcountry_tou,2025,1,False,150.4,87.9,12.4
case4_0000,upcountry_tou,2025,2,False,148.7,75.2,13.8
case4_0000,upcountry_tou,2025,3,False,238.4,135.9,13.3
case4_0000,upcountry_tou,2025,4,False,328.9,156.7,14.0
case4_0000,upcountry_tou,2025,5,False,286.7,154.7,14.8
case4_0000,upcountry_tou,2025,6,False,199.7,110.3,12.7
case4_0000,upcountry_tou,2025,7,False,242.9,101.8,12.1
case4_0000,upcountry_tou,2025,8,False,228.4,135.5,8.8
case4_0000,upcountry_tou,2025,9,False,275.3,129.6,11.4
case4_0000,upcountry_tou,2025,10,False,248.1,109.0,10.6
case4_0000,upcountry_tou,2025,11,False,195.2,97.9,11.1
case4_0000,upcountry_tou,2025,12,False,135.1,74.2,10.6
case4_0000,upcountry_tou,2026,1,False,154.7,60.7,9.3
case4_0000,upcountry_tou,2026,2,False,140.8,98.0,9.9
case4_0000,upcountry_tou,2026,3,False,183.8,111.7,11.2
case4_0000,upcountry_tou,2026,4,False,289.0,134.7,14.7
case4_0000,upcountry_tou,2026,5,False,283.7,150.5,14.5
case4_0000,upcountry_tou,2026,6,False,253.1,173.9,14.7
case4_0000,upcountry_tou,2026,7,False,287.8,139.3,14.5
case4_0000,upcountry_tou,2026,8,False,212.0,107.4,13.9
case4_0001,upcountry_tou,2024,3,True,76.7,229.9,5.0
case4_0001,upcountry_tou,2024,4,True,91.3,287.1,4.8
case4_0001,upcountry_tou,2024,5,True,84.9,315.2,4.8
case4_0001,upcountry_tou,2024,6,True,92.8,286.9,4.6
case4_0001,upcountry_tou,2024,7,True,98.5,295.0,5.1
case4_0001,upcountry_tou,2024,8,True,98.6,240.5,3.8
case4_0001,upcountry_tou,2024,9,True,105.6,313.8,5.3
case4_0001,upcountry_tou,2024,10,True,80.1,272.1,5.7
case4_0001,upcountry_tou,2024,11,True,76.9,220.7,4.4
case4_0001,upcountry_tou,2024,12,True,74.1,246.9,3.6
case4_0001,upcountry_tou,2025,1,True,47.6,224.8,4.9
case4_0001,upcountry_tou,2025,2,True,96.4,188.1,4.6
case4_0001,upcountry_tou,2025,3,True,83.2,216.5,4.7
case4_0001,upcountry_tou,2025,4,True,96.2,297.3,5.1
case4_0001,upcountry_tou,2025,5,True,69.7,376.6,5.1
